Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
4980265,414766,423013,2,13/09/2017,0828,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,53
4981369,405406,428432,1,08/09/2017,1755,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,9
4981892,416898,422616,2,08/09/2017,2130,M62,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,54
4991053,390190,426103,1,09/09/2017,1522,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,58
4991333,393314,423591,2,09/09/2017,1743,A6033,Wet/Damp,Darkness: street lighting unknown,Raining without high winds,Car,Driver or rider,Slight,Female,61
49A1213,408575,425581,3,10/09/2017,1608,U,Wet/Damp,Daylight:street lights present,Raining without high winds,Pedal cycle,Driver or rider,Slight,Male,22
49B0176,416882,424151,3,11/09/2017,0538,M62,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,31
49B0818,398790,414810,4,11/09/2017,1330,M62,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,64
49B1517,409318,424612,2,11/09/2017,1838,A629,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Serious,Male,31
49D1537,409945,425654,2,13/09/2017,1935,A58,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,21
49F0682,399605,414945,3,15/09/2017,1214,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,82
49G0777,414186,422448,2,16/09/2017,1205,U,Dry,Daylight:street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,9
49G1225,407446,425649,2,16/09/2017,1555,U,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight,Male,36
49H0655,415201,422906,2,17/09/2017,1025,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,24
49K1272,405842,420635,2,20/09/2017,1627,B6113,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,16
49L1293,404698,423077,2,21/09/2017,1625,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,12
49M1282,409112,425528,1,22/09/2017,1617,A58,Wet/Damp,Daylight:street lights present,Raining without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,25
49M1648,408124,424433,1,22/09/2017,0725,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,13
49R1694,408329,424016,2,27/09/2017,1943,U,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Serious,Male,23
49S0685,389917,426226,3,28/09/2017,1205,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,86
49S1979,409676,421145,2,28/09/2017,2129,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,36
49T0884,407425,424255,1,26/09/2017,0750,A58,Dry,Daylight:street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Slight,Male,63
49T0927,410655,421312,2,16/09/2017,1300,B6114,Dry,Daylight:street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,60
49T1639,409999,423625,1,29/09/2017,1843,U,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,17
4A11372,414776,425304,1,01/10/2017,1715,U,Wet/Damp,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Serious,Male,8
4A30335,408500,424674,1,03/10/2017,0850,A58,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,17
4A30785,410762,426278,2,03/10/2017,1250,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,22
4A40320,411234,426106,1,04/10/2017,0753,A6036,Wet/Damp,Daylight:street lights present,Raining with high winds,Car,Pedestrian,Slight,Male,16
4A51176,403150,425739,1,05/10/2017,1600,A646,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,47
4A51336,404977,428868,2,05/10/2017,1700,U,Wet/Damp,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,17
4A60240,414274,422895,2,06/10/2017,0620,A6025,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,49
4A60722,415383,422704,2,08/10/2017,1220,A644,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,38
4A60939,414618,421697,1,06/10/2017,1418,A641,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,87
4A71935,408973,426471,4,07/10/2017,2122,A647,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,31
4A91308,406494,423575,2,09/10/2017,1640,U,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Fatal,Male,42
4A91447,412693,420262,3,09/10/2017,1730,M62,Dry,Darkness: street lighting unknown,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight,Female,32
4AA0228,407447,426986,2,10/10/2017,0702,U,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,41
4AA1437,416309,422215,2,10/10/2017,1745,A644,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,25
4AB0090,409555,422455,2,11/10/2017,0143,A6026(M),Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,64
4AB0833,406641,427881,1,11/10/2017,1130,U,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Male,56
4AC0206,411585,422377,1,12/10/2017,0611,A6025,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,32
4AE0030,409211,425449,2,14/10/2017,0012,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,27
4AF2060,391054,426229,2,15/10/2017,1935,A646,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,62
